Player,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
JaMychal Green,77,75,2101,250,500,55,145,195,355,134,167,167,377,544,84,46,34,94,248,689
Jeff Green,69,11,1534,220,558,53,193,167,365,145,168,39,175,214,81,37,13,75,103,638
Blake Griffin,61,61,2076,479,971,38,113,441,858,320,421,111,385,496,300,58,23,142,157,1316
Justin Hamilton,64,7,1177,174,379,55,181,119,198,39,52,71,191,262,55,29,43,43,91,442
A.J. Hammons,22,0,163,17,42,5,10,12,32,9,20,8,28,36,4,1,13,10,21,48
Tim Hardaway,79,30,2154,415,912,149,417,266,495,164,214,35,189,224,182,55,15,106,103,1143
James Harden,81,81,2947,674,1533,262,756,412,777,746,881,95,564,659,906,120,37,464,215,2356
Maurice Harkless,77,69,2223,314,624,68,194,246,430,77,124,125,216,341,89,85,70,85,214,773
Justin Harper,3,0,31,5,12,2,7,3,5,0,0,2,3,5,2,0,0,4,2,12
Montrezl Harrell,58,14,1064,225,345,1,7,224,338,76,121,81,138,219,64,20,42,44,126,527
Devin Harris,65,0,1087,136,341,58,177,78,164,107,129,11,116,127,136,43,7,57,101,437
Gary Harris,57,56,1782,320,637,107,255,213,382,104,134,48,130,178,164,71,8,76,92,851
Joe Harris,52,11,1138,154,362,85,221,69,141,35,49,16,131,147,54,30,8,55,121,428
Manny Harris,4,0,25,3,15,0,2,3,13,2,4,3,6,9,2,0,0,2,1,8
Tobias Harris,82,48,2567,511,1063,109,314,402,749,190,226,63,353,416,142,60,39,95,133,1321
Aaron Harrison,5,0,17,0,4,0,2,0,2,1,2,0,3,3,3,0,0,0,2,1
Andrew Harrison,72,18,1474,117,360,43,156,74,204,148,194,23,113,136,198,54,20,85,194,425
Udonis Haslem,17,0,130,11,23,0,3,11,20,9,15,8,28,36,6,5,1,8,22,31
Gordon Hayward,73,73,2516,545,1156,149,374,396,782,362,429,49,344,393,252,73,20,140,117,1601
Gerald Henderson,72,41,1667,234,553,61,173,173,380,133,165,34,151,185,112,41,15,62,129,662
John Henson,58,39,1123,159,309,0,1,159,308,74,107,92,203,295,57,29,78,53,151,392
Juan Hernangomez,62,9,842,101,224,46,113,55,111,57,76,43,144,187,29,29,12,31,62,305
Willy Hernangomez,72,22,1324,246,465,4,15,242,450,91,125,170,332,502,96,41,36,100,150,587
Mario Hezonja,65,2,960,117,330,43,144,74,186,40,50,20,126,146,62,30,14,58,74,317
Nene Hilario,67,8,1198,245,397,3,9,242,388,116,197,95,186,281,65,56,40,73,163,609
George Hill,49,49,1544,289,606,94,233,195,373,157,196,23,144,167,203,50,11,85,114,829
Jordan Hill,7,0,47,5,13,0,0,5,13,2,2,8,6,14,0,1,0,4,9,12
Solomon Hill,80,71,2374,183,477,94,270,89,207,103,128,51,256,307,141,71,32,82,182,563
Darrun Hilliard,39,1,381,47,126,12,46,35,80,21,28,2,31,33,33,11,2,28,39,127
Jrue Holiday,67,61,2190,405,894,100,281,305,613,119,168,46,218,264,488,100,43,194,133,1029
Justin Holiday,82,4,1639,233,538,97,273,136,265,66,80,27,198,225,102,65,31,66,109,629
Rondae Hollis-Jefferson,78,50,1761,235,542,15,67,220,475,190,253,96,356,452,154,82,44,116,177,675
Richaun Holmes,57,17,1193,230,412,27,77,203,335,72,103,94,217,311,58,42,55,55,136,559
Rodney Hood,59,55,1593,272,666,114,307,158,359,90,115,16,186,202,96,38,11,65,132,748
Al Horford,68,68,2193,379,801,86,242,293,559,108,135,95,369,464,337,52,87,116,138,952
Danuel House,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Dwight Howard,74,74,2199,388,613,0,2,388,611,226,424,296,644,940,104,64,92,170,203,1002
Marcelo Huertas,23,1,237,25,68,4,19,21,49,9,17,2,22,24,52,10,2,19,16,63
Josh Huestis,2,0,31,6,11,2,4,4,7,0,1,4,5,9,3,0,3,0,0,14
Kris Humphries,56,4,689,87,214,19,54,68,160,64,82,60,146,206,29,15,21,28,69,257
R.J. Hunter,3,0,9,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Andre Iguodala,76,0,1998,219,415,64,177,155,238,72,102,51,253,304,262,76,39,58,97,574
Joe Ingles,82,26,1972,204,451,123,279,81,172,50,68,23,237,260,224,96,8,107,163,581
Brandon Ingram,79,40,2279,276,686,55,187,221,499,133,214,60,257,317,166,50,36,116,158,740
Kyrie Irving,72,72,2525,671,1420,177,441,494,979,297,328,52,178,230,418,83,25,180,157,1816
Jarrett Jack,2,0,33,2,3,0,1,2,2,2,2,0,0,0,5,2,0,3,4,6
Demetrius Jackson,5,0,17,3,4,1,1,2,3,3,6,2,2,4,3,0,0,0,0,10
Pierre Jackson,8,1,84,13,39,3,11,10,28,6,7,1,8,9,19,2,0,3,5,35
Reggie Jackson,52,50,1424,284,677,66,184,218,493,118,136,21,92,113,270,35,5,114,129,752
LeBron James,74,74,2794,736,1344,124,342,612,1002,358,531,97,543,640,646,92,44,303,134,1954
Al Jefferson,66,1,931,235,471,0,1,235,470,65,85,75,203,278,57,19,16,33,125,535
Richard Jefferson,79,13,1614,153,343,62,186,91,157,80,108,28,174,202,78,26,10,52,153,448
John Jenkins,4,0,13,2,5,1,2,1,3,2,2,0,1,1,1,0,0,0,0,7
Jonas Jerebko,78,6,1232,114,262,45,130,69,132,26,37,60,213,273,71,26,17,39,122,299
Amir Johnson,80,77,1608,213,370,27,66,186,304,67,100,117,248,365,140,52,62,77,211,520
Brice Johnson,3,0,9,2,7,0,0,2,7,0,0,1,2,3,1,2,1,1,0,4
James Johnson,76,5,2085,368,769,87,256,281,513,152,215,66,309,375,276,76,86,171,197,975
Joe Johnson,78,14,1843,273,626,106,258,167,368,63,77,33,209,242,144,36,18,69,93,715
Stanley Johnson,77,1,1371,129,365,45,154,84,211,36,53,36,153,189,105,56,24,71,121,339
Tyler Johnson,73,0,2178,357,824,93,250,264,574,195,254,50,243,293,233,84,44,90,176,1002
Wesley Johnson,68,3,810,73,200,29,118,44,82,11,17,26,155,181,23,29,30,18,83,186
Nikola Jokic,73,59,2038,494,854,45,139,449,715,188,228,212,506,718,359,61,56,171,214,1221
Dahntay Jones,1,0,12,3,8,0,2,3,6,3,4,1,1,2,1,0,0,1,1,9
Damian Jones,10,0,85,8,16,0,0,8,16,3,10,9,14,23,0,1,4,6,15,19
Derrick Jones,32,8,545,68,121,3,11,65,110,29,41,39,40,79,12,14,13,13,63,168
James Jones,48,2,381,44,92,31,66,13,26,13,20,3,35,38,14,7,10,10,37,132
Tyus Jones,60,0,774,75,181,26,73,49,108,33,43,10,57,67,156,47,5,38,50,209
DeAndre Jordan,81,81,2570,412,577,0,2,412,575,205,425,297,817,1114,96,52,135,116,212,1029
Cory Joseph,80,22,2003,299,661,48,135,251,526,94,122,51,184,235,265,66,13,108,140,740
Frank Kaminsky,75,16,1954,320,802,116,354,204,448,118,156,57,279,336,162,47,34,76,139,874
Enes Kanter,72,0,1533,402,737,5,38,397,699,224,285,195,287,482,67,32,38,123,154,1033
Ryan Kelly,16,0,110,8,28,4,10,4,18,5,6,1,17,18,8,4,5,4,5,25
